,Row.names,weight,percent,V1,V2,V3,V4,V5,V6,V7,V8,V9,,,,,,,,,,,,,,,,,
,901227,Get it at the bay,1.560299569,Topic 3.,NA,0.000303814,0.000303814,0.998784744,0.000303814,0.000303814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901229,oh,1.215749474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901230,"Honestly, with the outfit changes, I originally thought it was clothes, but at the end I realized it was showing you can get all your home goods at the Bay",0.5437813,Topic 3.2.,Topic 4.2.,9.41E-05,9.41E-05,0.355899393,0.50603553,0.137876804,NA,NA,NA,NA,NA,NA,NA,0.002367301,0.992898098,0.002367301,0.002367301,0.003560846,0.989317461,0.003560846,0.003560846,NA,NA,NA,NA
1,901236,i dunno,3.535347359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901239,That we find everything for our silk home,0.632404734,Topic 4.2.,Topic 3.3.,0.000139184,0.000139184,0.220395491,0.779186955,0.000139184,NA,NA,NA,NA,NA,NA,NA,0.002701831,0.002701831,0.991894506,0.002701831,0.002621243,0.99213627,0.002621243,0.002621243,NA,NA,NA,NA
,901241,you can order stuff for your house online and get it via mail,0.541285713,Topic 2.3.,Topic 4.1.,0.000129607,0.3030397,0.000129607,0.696571478,0.000129607,NA,NA,NA,NA,0.003816875,0.003816875,0.99236625,NA,NA,NA,NA,0.990941078,0.003019641,0.003019641,0.003019641,NA,NA,NA,NA
,901245,products,2.850584602,Topic 5.,NA,0.000487155,0.000487155,0.000487155,0.000487155,0.99805138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901254,Free returns,0.831027698,Topic 3.4.,Topic 1.3.,0.551724007,0.002173667,0.441754992,0.002173667,0.002173667,0.009172274,0.009172274,0.972483179,0.009172274,NA,NA,NA,0.004690189,0.004690189,0.004690189,0.985929434,NA,NA,NA,NA,NA,NA,NA,NA
,901260,idk,1.717691369,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901263,Various home decor items for all styles,0.647793135,Topic 4.4.,Topic 2.1.,8.15E-05,0.201985558,8.15E-05,0.797769866,8.15E-05,NA,NA,NA,NA,0.984905344,0.007547328,0.007547328,NA,NA,NA,NA,0.002459027,0.002459027,0.002459027,0.992622919,NA,NA,NA,NA
,901266,To but their stuff,0.719875734,Topic 2.,NA,0.000580018,0.99767993,0.000580018,0.000580018,0.000580018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901272,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901274,buy nice products for the home,0.5,Topic 4.4.,Topic 5.4.,0.000112631,0.156539559,0.000112631,0.608124222,0.235110956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007702215,0.007702215,0.007702215,0.976893354,0.019185645,0.019185645,0.019185645,0.942443064
,901282,Hudson Bay offers a wide variety of home decor,0.5,Topic 5.2.,Topic 3.2.,5.84E-05,5.84E-05,0.210622077,0.577376226,0.211884874,NA,NA,NA,NA,NA,NA,NA,0.347179857,0.649516988,0.001651578,0.001651578,0.474109497,0.00098945,0.523911603,0.00098945,0.000900242,0.737369093,0.260830424,0.000900242
,901287,That the bay has everyday comfort for your home,0.737657034,Topic 4.2.,Topic 3.4.,0.000112953,0.000112953,0.382754741,0.6169064,0.000112953,NA,NA,NA,NA,NA,NA,NA,0.009207635,0.009207635,0.009207635,0.972377094,0.007702215,0.976893354,0.007702215,0.007702215,NA,NA,NA,NA
1,901289,colors,0.5,Topic 1.,NA,0.994760422,0.001309895,0.001309895,0.001309895,0.001309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901301,buy the product,0.781126133,Topic 5.,Topic 2.,0.000306166,0.371829579,0.000306166,0.000306166,0.627251925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901318,"That The Hudson's Bay Company has the quality products, and styles, to fit your lifestyle. Both for clothing and furniture.",0.831027698,Topic 5.1.,Topic 3.2.,0.000132207,0.000132207,0.702071237,0.000132207,0.297532144,NA,NA,NA,NA,NA,NA,NA,0.000828526,0.836425734,0.000828526,0.161917215,NA,NA,NA,NA,0.996240686,0.001253105,0.001253105,0.001253105
,901319,The Bay offers a variety of products,0.5,Topic 3.2.,Topic 5.3.,0.000117308,0.000117308,0.424278653,0.000117308,0.575369424,NA,NA,NA,NA,NA,NA,NA,0.002523528,0.992429417,0.002523528,0.002523528,NA,NA,NA,NA,0.003416073,0.003416073,0.989751782,0.003416073
,901326,The Bay is fun,0.5,Topic 3.2.,NA,0.000282144,0.000282144,0.998871426,0.000282144,0.000282144,NA,NA,NA,NA,NA,NA,NA,0.017761119,0.946716643,0.017761119,0.017761119,NA,NA,NA,NA,NA,NA,NA,NA
1,901327,The Bay sells home decor,0.831027698,Topic 4.3.,Topic 3.1.,7.35E-05,7.35E-05,0.241719145,0.758060364,7.35E-05,NA,NA,NA,NA,NA,NA,NA,0.983962336,0.005345888,0.005345888,0.005345888,0.002188193,0.002188193,0.99343542,0.002188193,NA,NA,NA,NA
,901338,"That they have products and d?cor for every version of """"you"""".",0.55096962,Topic 5.,NA,0.000487155,0.000487155,0.000487155,0.000487155,0.99805138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901345,Easy fun styles,0.5437813,Topic 3.2.,Topic 2.1.,0.000838088,0.367612853,0.629872882,0.000838088,0.000838088,NA,NA,NA,NA,0.99236625,0.003816875,0.003816875,0.001651578,0.995045267,0.001651578,0.001651578,NA,NA,NA,NA,NA,NA,NA,NA
,901347,Attractive home furnishings,0.5,Topic 4.3.,NA,0.000178021,0.000178021,0.000178021,0.999287915,0.000178021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006451641,0.006451641,0.980645078,0.006451641,NA,NA,NA,NA
,901355,Has everything you need,4.769068846,Topic 3.3.,NA,0.000433738,0.000433738,0.998265049,0.000433738,0.000433738,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,901357,The Bay offers home decor sales online with shipping and returns,1.384991083,Topic 4.1.,Topic 3.4.,6.75E-05,6.75E-05,0.324121393,0.67567617,6.75E-05,NA,NA,NA,NA,NA,NA,NA,0.001189281,0.47217888,0.001189281,0.525442558,0.997103768,0.000965411,0.000965411,0.000965411,NA,NA,NA,NA
,901359,.,1.127080584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901360,Affordable modern furnishings,0.5,Topic 1.3.,NA,0.990799764,0.002300059,0.002300059,0.002300059,0.002300059,0.007392061,0.007392061,0.977823818,0.007392061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901362,Buy stuff from the bay,0.854569198,Topic 3.,Topic 2.,0.000160667,0.471326574,0.528191425,0.000160667,0.000160667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901363,I don't like that they are doubling the female,0.638993622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901368,Hudsons Bay has everything you need for home decor.,0.5,Topic 3.3.,Topic 4.4.,6.48E-05,6.48E-05,0.367039267,0.632766259,6.48E-05,NA,NA,NA,NA,NA,NA,NA,0.001057698,0.001057698,0.996826907,0.001057698,0.001411107,0.001411107,0.001411107,0.995766679,NA,NA,NA,NA
,901370,N / A,2.786418467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901371,Nothing,1.474669116,Topic 2.3.,NA,0.007610155,0.96955938,0.007610155,0.007610155,0.007610155,NA,NA,NA,NA,0.017094365,0.017094365,0.965811271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901372,having fun in a vibrant environment with a lot of unique furniture.,1.285570463,Topic 2.3.,Topic 2.1.,0.000419924,0.998320304,0.000419924,0.000419924,0.000419924,NA,NA,NA,NA,0.420174509,0.002820934,0.577004556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901385,To buy house declaration,1.036567838,Topic 4.,NA,0.000152022,0.184628094,0.000152022,0.814915839,0.000152022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901392,Variety of options for home environment,0.5,Topic 4.2.,Topic 5.4.,0.000122389,0.000122389,0.000122389,0.690086593,0.30954624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003560846,0.989317461,0.003560846,0.003560846,0.019185645,0.019185645,0.019185645,0.942443064
,901394,I don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901397,You can buy lots of nice things at the Bay,0.5,Topic 2.2.,Topic 3.3.,0.000127518,0.573932458,0.425684987,0.000127518,0.000127518,NA,NA,NA,NA,0.012987281,0.974025439,0.012987281,0.009207635,0.009207635,0.972377094,0.009207635,NA,NA,NA,NA,NA,NA,NA,NA
,901408,Making your home comfortable,1.235519023,Topic 4.2.,NA,0.000182962,0.000182962,0.000182962,0.999268153,0.000182962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
,901410,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901411,They have everything for your home,0.5,Topic 4.,NA,0.00015144,0.00015144,0.187026106,0.812519572,0.00015144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901414,the services are complete with the application,0.931864672,Topic 1.3.,NA,0.962307779,0.009423055,0.009423055,0.009423055,0.009423055,0.033051235,0.033051235,0.900846294,0.033051235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901418,The colors,0.638993622,Topic 1.,NA,0.994760422,0.001309895,0.001309895,0.001309895,0.001309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901421,Lots of choices and products to choose from.,0.5,Topic 2.2.,Topic 5.1.,0.000166763,0.227270302,0.000166763,0.000166763,0.772229408,NA,NA,NA,NA,0.046512486,0.906975028,0.046512486,NA,NA,NA,NA,NA,NA,NA,NA,0.893090629,0.035636457,0.035636457,0.035636457
,901427,THAT THE BAY HAS A LOT OF HOME DECOR AND YOU CAN ORDER/RETURN ONLINE.,0.5,Topic 4.1.,Topic 3.4.,6.56E-05,0.121070715,0.232377448,0.646420683,6.56E-05,NA,NA,NA,NA,NA,NA,NA,0.002701831,0.002701831,0.002701831,0.991894506,0.993778058,0.002073981,0.002073981,0.002073981,NA,NA,NA,NA
,901428,the Bay has everything for your home and office,0.5,Topic 4.,Topic 3.,0.000101115,0.000101115,0.457540182,0.542156474,0.000101115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901432,Hehshahahah ajahajhaha shs shnshansnsnannanansns,2.786418467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901437,To show off some of the products they carry,1.828336691,Topic 5.3.,NA,0.000331851,0.000331851,0.000331851,0.000331851,0.998672596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002740347,0.002740347,0.991778958,0.002740347
,901440,Huh,0.831027698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901442,Home decor that works for everyone,0.719875734,Topic 4.2.,NA,9.79E-05,9.79E-05,9.79E-05,0.999608549,9.79E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003560846,0.989317461,0.003560846,0.003560846,NA,NA,NA,NA
,901463,That Wayfair has a large variety of products with free shipping.,0.5,Topic 5.2.,NA,0.000169624,0.000169624,0.000169624,0.000169624,0.999321505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190710867,0.807317851,0.000985641,0.000985641
,901477,They carry wide variety of products for your home.,0.5,Topic 5.2.,Topic 4.3.,8.71E-05,8.71E-05,8.71E-05,0.474836046,0.524902685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474109497,0.00098945,0.523911603,0.00098945,0.000900242,0.737369093,0.260830424,0.000900242
,901483,Store has everything you need to decorate all the rooms in your home,0.5,Topic 4.4.,NA,7.86E-05,7.86E-05,0.180529347,0.819234826,7.86E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000942511,0.309300023,0.000942511,0.688814955,NA,NA,NA,NA
,901489,versatile,0.5,Topic 1.2.,NA,0.950520781,0.012369805,0.012369805,0.012369805,0.012369805,0.033051235,0.900846294,0.033051235,0.033051235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901493,Not sure,0.560910586,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901495,"Because I recognize the """"stripes"""" on the pillows which are iconic in Canada.",0.5,Topic 1.1.,NA,0.991758233,0.002060442,0.002060442,0.002060442,0.002060442,0.991312625,0.002895792,0.002895792,0.002895792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901501,About shopping,0.5,Topic 3.4.,NA,0.00145438,0.00145438,0.99418248,0.00145438,0.00145438,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.002106483,0.002106483,0.99368055,NA,NA,NA,NA,NA,NA,NA,NA
,901503,Bay,0.737657034,Topic 3.,NA,0.000303814,0.000303814,0.998784744,0.000303814,0.000303814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901519,There's a huge selection of home furnishings,0.5,Topic 5.2.,Topic 4.3.,0.000112953,0.000112953,0.000112953,0.613053296,0.386607845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001644744,0.001644744,0.995065768,0.001644744,0.001149159,0.996552522,0.001149159,0.001149159
1,901524,The Bay has a lot to office in terms of fashion and home decor,0.5,Topic 3.1.,Topic 4.3.,6.89E-05,0.094111551,0.23343988,0.67231079,6.89E-05,NA,NA,NA,NA,NA,NA,NA,0.963616138,0.012127954,0.012127954,0.012127954,0.018404983,0.018404983,0.94478505,0.018404983,NA,NA,NA,NA
1,901527,The store provides fashion for every mood,0.552084101,Topic 1.1.,NA,0.995746423,0.001063394,0.001063394,0.001063394,0.001063394,0.984024911,0.00532503,0.00532503,0.00532503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901534,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901536,it's ok,4.019842932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901552,No,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901557,"The Bay is a source for home furnishings, and furniture",0.5,Topic 4.1.,Topic 3.4.,0.000106277,0.000106277,0.42402357,0.5756576,0.000106277,NA,NA,NA,NA,NA,NA,NA,0.459142765,0.003428589,0.003428589,0.534000057,0.992622919,0.002459027,0.002459027,0.002459027,NA,NA,NA,NA
,901561,Lots of products available,0.5,Topic 5.1.,Topic 2.2.,0.000276233,0.393499791,0.000276233,0.000276233,0.605671511,NA,NA,NA,NA,0.017094365,0.96581127,0.017094365,NA,NA,NA,NA,NA,NA,NA,NA,0.975865961,0.00804468,0.00804468,0.00804468
,901568,the bay has everything for your home decor needs to furnish your home.,1.518243552,Topic 3.3.,Topic 4.4.,6.51E-05,6.51E-05,0.363910241,0.635894324,6.51E-05,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,901576,easy to shop,0.831027698,Topic 3.4.,NA,0.001191523,0.001191523,0.995233909,0.001191523,0.001191523,NA,NA,NA,NA,NA,NA,NA,0.001807733,0.001807733,0.001807733,0.9945768,NA,NA,NA,NA,NA,NA,NA,NA
,901580,The have something for all areas of a home and ward robe,0.5,Topic 4.2.,NA,0.000178826,0.000178826,0.000178826,0.999284696,0.000178826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012578669,0.962263993,0.012578669,0.012578669,NA,NA,NA,NA
1,901581,make your home cozy with hudsons bay's products,0.5,Topic 3.1.,Topic 4.4.,9.28E-05,9.28E-05,0.312155226,0.497503538,0.190155614,NA,NA,NA,NA,NA,NA,NA,0.963616138,0.012127954,0.012127954,0.012127954,0.018404983,0.018404983,0.018404983,0.94478505,NA,NA,NA,NA
,901586,no idea,0.931864672,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901588,We have a variety of exciting home decor items to suit any mood or style,0.944914454,Topic 4.4.,NA,6.63E-05,0.168995671,6.63E-05,0.651803411,0.179068225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001715764,0.001715764,0.001715764,0.994852708,NA,NA,NA,NA
,901591,This store is carrying many stuff,0.5,Topic 2.2.,Topic 2.1.,0.000227075,0.999091701,0.000227075,0.000227075,0.000227075,NA,NA,NA,NA,0.496688672,0.496688672,0.006622656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901593,No idea,0.552084101,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901594,This company has something for every home decorating need.,0.5,Topic 4.4.,NA,9.15E-05,9.15E-05,0.104664044,0.895061388,9.15E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001411107,0.001411107,0.001411107,0.995766679,NA,NA,NA,NA
,901597,Was that the company has a wide selection of merchandise.,0.55096962,Topic 5.2.,NA,0.000278175,0.000278175,0.000278175,0.000278175,0.998887299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001034719,0.996895843,0.001034719,0.001034719
,901600,Not sure,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901603,Updated clothing and furnishings,0.600291894,Topic 1.3.,Topic 3.2.,0.43446082,0.002173667,0.559018179,0.002173667,0.002173667,0.009172274,0.009172274,0.972483179,0.009172274,NA,NA,NA,0.250544518,0.743162544,0.003146469,0.003146469,NA,NA,NA,NA,NA,NA,NA,NA
,901604,A large selection of home decor goods.,0.5,Topic 5.2.,Topic 4.3.,7.00E-05,7.00E-05,7.00E-05,0.683007615,0.316782427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001877943,0.001877943,0.994366172,0.001877943,0.001216428,0.996350716,0.001216428,0.001216428
,901608,it's about home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901609,"They carry a wide variety of products, something for everyone",0.5,Topic 5.2.,Topic 5.3.,0.000153796,0.000153796,0.000153796,0.000153796,0.999384817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000796699,0.652559179,0.345847424,0.000796699
,901614,No clue,0.676275245,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901615,"There are so many shops and retailers nowadays, this serves as a reminder of that Hudson's Bay still exists/is relevant and has a lot to offer.",0.831027698,Topic 2.2.,Topic 3.4.,0.000150863,0.30057395,0.698973462,0.000150863,0.000150863,NA,NA,NA,NA,0.003344553,0.993310895,0.003344553,0.001002253,0.394157162,0.001002253,0.603838332,NA,NA,NA,NA,NA,NA,NA,NA
1,901618,Shopping at hbc,0.737657034,Topic 3.4.,Topic 1.4.,0.228388454,0.001123818,0.768240091,0.001123818,0.001123818,0.007392061,0.007392061,0.395562421,0.589653457,NA,NA,NA,0.001897434,0.001897434,0.001897434,0.994307698,NA,NA,NA,NA,NA,NA,NA,NA
,901639,its a good price a lot of choice,0.5,Topic 5.1.,Topic 2.2.,0.000190909,0.271064113,0.000190909,0.000190909,0.72836316,NA,NA,NA,NA,0.017094365,0.965811271,0.017094365,NA,NA,NA,NA,NA,NA,NA,NA,0.975865961,0.00804468,0.00804468,0.00804468
,901640,Has everything,0.831027698,Topic 3.,NA,0.000804018,0.000804018,0.996783927,0.000804018,0.000804018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901651,You can buy home decor,0.5,Topic 4.,NA,9.11E-05,0.110640142,9.11E-05,0.889086555,9.11E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901652,The variety of products hudson bay has to offer. They have something for anyone with any lifestyle,1.935112172,Topic 3.2.,Topic 5.3.,0.000115257,0.000115257,0.420715033,0.000115257,0.578939197,NA,NA,NA,NA,NA,NA,NA,0.001996501,0.994010496,0.001996501,0.001996501,NA,NA,NA,NA,0.002421076,0.002421076,0.992736773,0.002421076
1,901654,That they sell items for your home.,0.831027698,Topic 4.3.,Topic 2.3.,0.000130894,0.22521132,0.000130894,0.774395998,0.000130894,NA,NA,NA,NA,0.017094365,0.017094365,0.96581127,NA,NA,NA,NA,0.002188193,0.002188193,0.99343542,0.002188193,NA,NA,NA,NA
,901659,The color at the background is the same,1.518243552,Topic 1.2.,NA,0.995628913,0.001092772,0.001092772,0.001092772,0.001092772,0.01208194,0.96375418,0.01208194,0.01208194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901662,Different colours,0.931864672,Topic 5.,NA,0.236164153,0.00031098,0.00031098,0.00031098,0.762902908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901663,idea,1.461749247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901672,home decor,0.973786356,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901677,funiture,0.5,Topic 2.3.,NA,0.001634692,0.993461233,0.001634692,0.001634692,0.001634692,NA,NA,NA,NA,0.004842717,0.004842717,0.990314565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901679,That you can get everything you want to design your home there.,0.5,Topic 3.2.,Topic 4.4.,0.00013265,0.00013265,0.286593788,0.713008262,0.00013265,NA,NA,NA,NA,NA,NA,NA,0.001726131,0.994821607,0.001726131,0.001726131,0.001971099,0.001971099,0.001971099,0.994086702,NA,NA,NA,NA
1,901687,that they have up to date and trendy products,0.831027698,Topic 5.4.,NA,0.000458897,0.000458897,0.000458897,0.000458897,0.998164412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035636457,0.035636457,0.035636457,0.893090629
,901691,home decor,0.831027698,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901693,home decor,1.461749247,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901698,idk,2.786418467,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901699,Easy to shop online,0.552084101,Topic 3.4.,Topic 2.3.,0.000757808,0.224408933,0.773317642,0.000757808,0.000757808,NA,NA,NA,NA,0.003344553,0.374578733,0.622076715,0.001358255,0.001358255,0.001358255,0.995925234,NA,NA,NA,NA,NA,NA,NA,NA
,901701,buy home decor items from Hudson's The Bay,0.65437114,Topic 4.,NA,6.26E-05,0.183550021,0.205696556,0.610628286,6.26E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901716,home deco,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901718,The Hudson Bay has products for you to decorate your home in the way you like.,6,Topic 4.4.,Topic 3.4.,6.53E-05,6.53E-05,0.21458924,0.648999124,0.136281131,NA,NA,NA,NA,NA,NA,NA,0.009207635,0.009207635,0.009207635,0.972377094,0.00555044,0.00555044,0.00555044,0.983348679,NA,NA,NA,NA
,901723,I have no ideas.,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901726,To shop here because it has all your household needs,0.5,Topic 4.4.,Topic 3.3.,0.000140669,0.000140669,0.245457833,0.754120159,0.000140669,NA,NA,NA,NA,NA,NA,NA,0.00074754,0.00074754,0.645871553,0.352633366,0.001098906,0.274434581,0.001098906,0.723367607,NA,NA,NA,NA
,901727,I don't know,0.973786356,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
